date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:43	116321/116321	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-1c661%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-layout.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-layout.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:44	109985/109985	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-1ada1%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-addons.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-addons.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:44	65705/65705	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-100a9%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-material.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-material.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:45	61366/61366	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-efb6%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-float-input.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-float-input.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:45	82374/82374	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-141c6%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-pickers.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-pickers.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:46	59663/59663	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-e90f%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-upload.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-upload.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:46	67578/67578	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-107fa%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-mask.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-mask.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:47	78404/78404	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-13244%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-validation.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-validation.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:47	78197/78197	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-13175%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-bootstrap-validation.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-bootstrap-validation.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:47	55383/55383	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-d857%22	http://eliteadmin.themedesigner.in/demos/bt4/material/form-dropzone.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/form-dropzone.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
